id,original_title,genres,overview,keywords,popularity,budget,original_language
191,Silver Linings Playbook,Comedy|Romance,"The compelling story of Silver Linings Playbook, exploring themes in the Comedy and Romance genre.",silver_linings_playbook action drama,91,105500000,en
192,Terminator 2: Judgment Day,Sci-Fi|Thriller,"The compelling story of Terminator 2: Judgment Day, exploring themes in the Sci-Fi and Thriller genre.",terminator_2:_judgment_day action drama,92,106000000,en
193,The Phantom of the Opera,Romance|Horror,"The compelling story of The Phantom of the Opera, exploring themes in the Romance and Horror genre.",the_phantom_of_the_opera action drama,93,106500000,en
194,Taken,Thriller|Adventure,"The compelling story of Taken, exploring themes in the Thriller and Adventure genre.",taken action drama,94,107000000,en
195,Midsommar,Horror|Fantasy,"The compelling story of Midsommar, exploring themes in the Horror and Fantasy genre.",midsommar action drama,95,107500000,en
196,Apocalypto,Adventure|Action,"The compelling story of Apocalypto, exploring themes in the Adventure and Action genre.",apocalypto action drama,96,108000000,en
197,Willow,Fantasy|Drama,"The compelling story of Willow, exploring themes in the Fantasy and Drama genre.",willow action drama,97,108500000,en
198,True Lies,Action|Comedy,"The compelling story of True Lies, exploring themes in the Action and Comedy genre.",true_lies action drama,98,109000000,en
199,Moon,Drama|Sci-Fi,"The compelling story of Moon, exploring themes in the Drama and Sci-Fi genre.",moon action drama,99,109500000,en
200,The Wedding Singer,Comedy|Romance,"The compelling story of The Wedding Singer, exploring themes in the Comedy and Romance genre.",the_wedding_singer action drama,50,110000000,en
